# Âm tiết tiếng Việt hợp lệ ĐÃ CHỨNG THỰC trong corpus, kèm tần suất.
# Nguồn cột 2: syllable-freq.tsv
# 9352 / 18261 âm tiết sinh ra có xuất hiện thật.
# Âm tiết hợp lệ nhưng KHÔNG có ở đây là tín hiệu 'nghi vấn' cho L3/L4:
# đúng ngữ âm nhưng không ai dùng, nên rất có thể là lỗi gõ.
# 
# Cột 3 = tần suất đếm trên CHÍNH tập câu đã dựng compounds.tsv. Cần cột
# riêng này để tính được xác suất có điều kiện P(b|a) = freq(a b)/freq(a):
# hai con số phải cùng một mẫu, không thì tỉ số vô nghĩa. Đó là thứ phân
# biệt từ ghép CỐ ĐỊNH (`chia sẻ`) với kết hợp TỰ DO (`cát trắng`) — và
# chính là chỗ mà tần suất bigram thô không đủ.
# 
# tổng token trên tập câu: 13338970
# 
# âm_tiết	tần_suất_dump	tần_suất_tập_câu
theo	480717	35833
thời	479497	35242
xã	474970	16187
giải	458479	20169
lại	455799	32734
bản	455594	27747
hành	454302	25333
hiện	453210	32919
cũng	449489	36375
sử	445889	32968
nhân	445087	28525
làm	432082	30731
phát	430259	27960
hai	428616	28588
đổi	427759	13368
thế	427474	38873
hình	427327	27571
nước	425932	35716
chiến	420429	26635
đồng	406222	26874
việc	402056	30081
viên	396420	17823
nhiều	396170	37984
thứ	393011	19886
kỳ	392519	23833
do	386966	30547
hội	384818	28603
sinh	379167	22495
mô	377991	8545
quan	377373	33277
đội	376641	14720
con	373146	21460
cùng	372932	21531
định	371865	31232
độ	369434	25891
xuất	364418	21376
tỉnh	363756	13922
khác	363009	31574
nó	359712	20650
tập	358669	14487
chỉ	358305	29215
pháp	357264	29620
the	349832	8903
thị	347795	13784
tên	339144	19894
dụng	335023	27943
trước	332973	19044
vị	328958	20804
cách	322683	27372
trường	322121	22346
lý	318367	26929
hơn	317322	25382
cao	317303	22223
cuộc	317167	20612
chủ	317068	25608
phần	316386	23726
hợp	315230	24085
việt	308616	30817
tự	304137	24130
còn	302162	25519
lập	300599	24769
khu	298207	16526
giới	295486	22893
văn	295198	26596
điều	292009	19293
cơ	288714	23663
nhưng	287939	21622
tiếng	284453	21236
trở	282895	18151
thông	282813	19769
thống	282574	25931
chức	281929	18325
ban	280672	14089
bằng	280325	24648
trình	279370	22006
danh	276669	10827
nhận	276062	17455
diễn	275275	10996
điểm	275192	15782
tây	274802	18452
tin	274167	12230
tiếp	272470	17128
phim	270759	6512
thủ	268665	13694
cả	267146	20135
thường	266800	22676
giáo	266211	27756
bởi	265574	14986
loại	265344	19704
hoặc	264549	18766
phía	264167	15566
đấu	263606	8006
rằng	263398	19458
đông	261840	18382
phân	261503	19442
bắc	261145	17061
trận	260517	10232
phải	260369	22273
miêu	259768	1981
gồm	259274	16275
tế	257628	23829
lớn	257192	24822
qua	256120	18093
sản	253293	17369
đường	250649	19894
bình	250348	15111
ba	247105	14156
tính	246143	21856
tác	245528	17874
địa	244768	18711
vụ	243115	13073
đối	243099	21125
cầu	241325	14347
lượng	241273	23549
sẽ	239278	15387
tổng	237102	15798
a	234239	7577
vì	233451	18379
phố	233395	15520
sĩ	233327	11254
vùng	232841	15006
hệ	231037	23820
lần	230318	12191
quyền	230000	20319
huyện	229922	7480
hàng	229792	15614
cô	227718	5067
mà	224942	20738
chúng	224914	16177
lực	224364	18972
châu	224225	17039
tích	223746	12515
bao	222765	14303
trị	222444	18964
lên	221651	14830
đây	220949	15195
nghiệp	220502	11141
cấp	220321	14712
gọi	219744	20708
hoàng	219236	14108
thức	217985	17259
tạo	216313	18389
chi	213897	7129
nhiên	212453	16074
bắt	211738	14112
hóa	211593	21467
bóng	211352	6588
đoàn	209980	9259
nhạc	208315	10806
vương	207983	10763
đi	207761	14612
tổ	207569	14072
đức	204847	13593
kinh	202740	20462
mình	202705	11171
minh	202418	17443
đánh	201617	11920
thêm	201376	8872
cộng	201180	16074
hòa	201093	13612
ảnh	201055	11240
hiệu	200334	12510
toàn	198281	15356
đô	198004	7645
mới	197963	14835
vực	197666	13018
thái	197623	14514
truyền	197291	15976
phương	196168	18301
mặt	195824	17376
lịch	195520	14031
đạo	195397	16728
đá	195197	7693
sách	195018	10942
tư	194481	13830
nguyên	193910	20853
tranh	192435	15720
mỹ	191974	13448
đề	191580	13544
xem	190647	9004
sống	189686	11398
diện	188857	8422
tàu	186952	5678
máy	185852	13011
bảo	185101	12987
ý	184228	13707
tử	183883	17875
mùa	183441	7241
chuyển	181948	13171
nghĩa	181680	18138
khoảng	181458	13020
trí	181450	9197
cánh	180151	3253
tiểu	179899	7439
nữ	179800	6703
vai	178517	5361
năng	178365	15349
đặc	178036	13917
bay	176820	7261
cuối	175972	10335
hay	174655	18808
thuật	172755	13397
điện	170498	14468
trang	170322	8563
bố	169416	8029
dương	169267	10566
hoạt	168718	9798
thiết	168070	11942
câu	167180	7341
đơn	165689	9367
nhật	165099	8859
lan	164884	6808
gian	164737	13923
thi	164461	6293
an	163476	9975
dự	163324	7310
đất	162031	16776
giữa	161851	14352
vô	161640	7799
thắng	161317	6006
nội	161067	11132
trưởng	161027	7287
nhỏ	160843	13345
triển	160293	13965
biển	159677	8510
hậu	159366	8558
kế	158827	9329
hạng	158615	4331
bài	158543	9174
chương	157715	7321
chế	157668	12873
dịch	157568	12596
sân	157369	5312
tâm	157361	12985
lạc	157170	6502
phòng	156581	7512
dưới	156483	10522
phong	156174	11065
hải	156145	8099
bà	156127	7765
âm	155864	12118
thì	153681	17149
biệt	153637	13303
thấy	153087	10484
thanh	152997	9264
đêm	152991	1892
bang	152680	6092
báo	152497	9362
nên	152480	14362
viện	151939	9189
phủ	150927	13053
mục	150520	8467
tài	150449	9970
thay	150126	11128
nhiệm	148599	7404
đang	148359	8894
nhau	147921	13843
tới	146931	13599
sở	145753	9286
rất	145739	14167
vòng	145481	4746
tình	144929	10131
quận	144614	3372
biến	144461	12705
chơi	143812	3840
phẩm	143605	9881
tiêu	143507	10366
trọng	143128	13026
hà	143042	10797
nhóm	142919	9229
nơi	142828	10277
thu	142522	8470
nghệ	141978	9391
tương	141626	13556
cá	141599	6361
tiến	141048	11158
đảo	140177	9121
thân	139749	7899
chất	139503	15900
dài	138084	8296
giá	137443	10128
tuy	137198	11808
cổ	136275	12549
quả	136111	9119
giao	135841	10438
ghi	135443	6291
sáng	134105	9476
đình	133565	9432
tăng	132615	11460
kỷ	131892	12783
quyết	131559	8423
la	131517	6806
cứu	131492	10075
lưu	131380	9101
nay	131296	12602
ca	130881	6709
vũ	130624	9023
biết	130446	8595
nằm	130293	7942
vận	129993	7397
bên	129959	10445
nói	129892	10795
thương	129593	8880
dẫn	129265	10671
đời	128992	9367
de	128935	3281
biểu	127727	9742
in	127535	4538
cứng	127311	1666
bướm	125606	101
bọ	125523	153
vẫn	125296	11445
liệu	124749	10437
phi	124197	7375
đều	123931	10653
thần	123682	10507
gần	123649	9310
tướng	123202	8385
đặt	122869	8651
phục	122169	8542
đế	122126	9745
chung	121932	7582
tiền	121290	8451
địch	121227	3630
tuổi	121164	5484
phụ	119933	7830
dùng	119897	13693
thiên	119776	11911
nguyễn	119753	10955
ta	119498	10384
ứng	118816	11027
cung	118630	8243
tấn	118594	6247
nhập	118544	7484
nổi	118512	8867
hoàn	117768	8435
sát	117708	8197
hát	117562	4204
viết	117432	9986
tinh	117094	8836
bán	116609	7127
từng	116026	7045
chí	115997	8250
cảnh	115546	6013
thư	115474	7842
ấn	114899	6608
sông	114457	10220
trò	114180	5549
vua	113906	10017
hồ	113732	8337
tìm	113678	7338
vệ	113385	6077
bất	113260	9458
bàn	112879	5030
đảng	112466	7929
cử	112458	6339
màu	112114	7288
tục	112045	8050
đưa	111928	7656
di	111758	9420
mang	111485	8214
triệu	111329	6805
chiếc	110855	4017
kiến	110843	9523
quá	110530	9384
dù	109554	8356
bảng	109435	3379
giữ	109348	7486
ăn	108607	5794
sư	108145	9890
khí	108057	11082
ủy	108049	4058
triều	106666	8968
xếp	106104	4102
bỏ	105691	7815
rộng	105064	8566
hữu	104679	7107
quy	104483	8959
kim	104461	7035
thổ	102965	6286
dựng	102956	8443
giả	102945	7383
yếu	102665	9936
sơn	102297	8092
mở	102274	7112
ký	101955	7500
i	101630	3325
nguồn	101363	9033
án	101188	6130
quản	101149	5688
đóng	100652	6459
xây	99930	8137
binh	99598	6217
tất	99556	7299
huy	99536	4777
kể	99476	7286
lãnh	99398	9250
xác	99117	8674
đài	98908	4244
luật	98073	8625
cái	97985	7249
giống	97835	5168
tượng	97819	9849
trợ	97741	6603
sắc	97491	5804
nghị	97490	6338
trực	97247	5987
xe	97078	6751
giành	97002	4208
ngữ	96681	11344
nào	96037	8904
mã	95734	7823
kiện	95437	7104
hướng	95241	7636
đoạn	95117	7376
mạng	95058	7686
yêu	94393	5368
giám	93647	3862
hạn	93538	7769
mất	93525	5368
nghiên	93244	7730
lúc	92623	6817
mỗi	92491	7122
mạnh	92327	7867
miền	91733	8165
sang	91494	6579
phản	91170	8156
dạng	90909	8766
tra	90784	2781
hộ	90003	5859
tộc	89966	8281
tay	89928	5419
y	89790	5238
vi	89769	8016
tân	89625	4670
bệnh	89025	7197
nga	88484	5492
long	88480	6456
nhiệt	88009	6285
mặc	87971	6510
chống	87826	7097
ngoại	87680	6766
trấn	87550	2926
ty	87546	4380
làng	87286	3493
thủy	87254	6574
chứng	87216	6884
chân	87130	5245
cần	86937	8028
đạt	86284	5222
chọn	86039	4391
giờ	86009	5533
lệ	85965	5808
ngôi	85956	5859
biên	85934	6327
lễ	85744	6997
âu	85641	7847
độc	85552	8088
phiên	85491	4269
phép	85238	7537
thuyết	85227	10064
cây	84733	6095
chưa	84515	5459
chết	84151	5508
duy	84103	7120
giúp	83800	5734
hạ	83309	5854
trai	83273	3122
gây	82803	6820
hiệp	82707	5776
mắt	82260	2548
tuyến	82181	5208
cảm	81284	5024
vấn	81270	6565
phổ	81192	7293
tỷ	80918	4015
phạm	80885	5916
chia	80749	6463
khách	80612	4235
đồ	80487	7809
cập	80478	3798
lục	80461	5660
sao	80328	8684
đa	80064	7350
chuyên	79972	4097
khả	79910	6237
khai	79847	6562
chiếm	79674	6455
hồng	79124	5407
em	79017	3695
kích	79009	5062
lời	78666	5548
tuyên	78420	6025
quảng	78065	5067
nếu	77974	7538
khỏi	77963	5271
niên	77907	6098
tốt	77733	4277
nha	77333	4740
cố	76948	5304
trẻ	76804	4020
tuyển	76697	2617
thúc	76614	4303
trần	76581	6636
hầu	76248	6303
phá	76203	5633
tuần	76149	2622
lấy	76133	5668
hưởng	76129	7387
cư	76079	6420
du	75841	6009
dung	75476	4567
á	75247	4959
e	75239	1560
kỹ	74973	5166
so	74949	5497
trái	73418	6984
bầu	73287	4811
tòa	72981	3740
bại	72826	3988
núi	72652	6296
gặp	72447	3780
gốc	72442	5510
chuẩn	72346	5712
vàng	72113	4394
giáp	71963	3649
doanh	71939	3278
mẹ	71878	3334
gái	71872	2523
phó	71682	2438
áp	71674	5804
vậy	71560	6956
thưởng	71532	2085
môi	71021	3531
tôn	70818	7212
lợi	70720	6336
đào	70647	4290
dục	70309	5308
hết	70267	6165
hồi	70232	5851
hạt	70193	6128
lớp	70129	4802
thượng	70044	5109
khẩu	69957	3613
giai	69920	5535
cáo	69754	3697
ít	69190	6059
luyện	69132	2377
dòng	68558	5648
khiến	68500	4936
lệnh	68205	4969
nền	67946	7490
sức	67635	5003
u	67475	1247
kiểm	67376	5075
thất	67342	4828
tông	67234	6743
tiết	67087	4435
tịch	66910	3691
thuận	66780	4979
chữ	66686	8107
ngay	66570	4714
tối	66414	3763
giảm	66106	5475
riêng	66066	5699
xuống	65590	4267
thập	65191	5617
mật	65074	4187
hàn	64958	3240
ninh	64912	4116
luận	64618	6449
thảo	64522	2566
thiếu	64484	3918
môn	64227	4514
tưởng	64192	5789
bổ	64186	3517
nhĩ	63824	1285
cực	63555	5919
quang	63544	5660
lê	63473	6759
lâm	63326	3975
đốc	63171	3116
tôi	63013	4211
thánh	62797	5559
quay	62619	3401
đôi	62491	3864
mẫu	62132	3420
cha	62067	3149
cải	61845	4911
nghiệm	61845	4694
quần	61798	3375
mọi	61745	5780
cửa	61187	3926
đứng	61177	4482
to	60369	2429
linh	60290	3731
hán	60061	5442
xô	60054	5460
mức	59789	4871
huấn	59682	1668
dựa	59679	4847
bốn	59622	3289
trúc	58849	6729
dụ	58736	6296
phóng	58617	4468
lâu	58409	3801
chiều	58321	3585
chạy	58113	3727
cấu	57996	5786
đĩa	57937	2111
áo	57828	3461
cận	57766	3155
lộ	57742	3196
pháo	57550	2254
tức	57525	5127
bạn	57456	2681
tồn	57306	5338
thơ	57163	4524
rồi	57142	4194
chúa	57114	5209
thờ	57063	4479
phái	56495	4473
nhằm	56485	4926
chấp	56431	4359
phú	56409	3988
ngôn	56267	7292
ước	55899	4626
đáng	55581	4365
muốn	55486	4265
sóng	55190	4110
tố	55053	5630
tước	54985	1876
thấp	54672	4159
tốc	54194	4518
điển	54105	5326
nông	53671	4793
truyện	53462	2140
lửa	53364	3643
khởi	53180	3942
nhanh	53168	4276
hỗ	53108	3398
toán	52853	5767
xuân	52750	3459
coi	52676	4982
bí	52662	2695
trụ	52481	4334
khúc	52320	2288
xa	52163	3685
ai	51958	3889
cụ	51947	4526
giang	51874	3370
ấy	51822	3306
đủ	51625	4039
dành	51550	2924
lĩnh	51457	4511
lá	51201	3186
hôn	50974	2102
đới	50896	1423
phường	50855	2899
truy	50829	1763
trao	50594	3303
xứ	50253	2306
nữa	50070	3892
song	49913	4002
ví	49783	5467
hoạch	49614	3167
ngành	49572	4206
cũ	49471	3420
đăng	49382	2421
vây	49164	1384
lương	49057	3189
loạt	49035	2250
xuyên	48913	3471
quanh	48872	3866
đàn	48838	3687
lai	48816	3007
vài	48657	4262
chuyện	48529	2368
hương	48421	3211
trắng	48198	2664
chu	48138	3921
kéo	48061	3488
cạnh	47962	4434
niệm	47809	4897
rõ	47640	4255
quý	47519	3513
phận	47484	2772
tái	47385	3525
buộc	47348	3290
chuyến	47129	2011
nhìn	46806	3513
đỏ	46741	3441
kịch	46644	1849
ngắn	46530	2778
yên	46485	3571
vượt	46420	2747
giết	46356	2686
san	46322	1486
bắn	46233	2379
ma	46190	3819
chịu	46119	4138
chiếu	46105	3284
hy	45919	3769
mua	45913	2193
cứ	45843	3529
đen	45819	2844
rừng	45762	2210
súng	45527	2454
chứa	45476	4015
mạch	45390	3504
mối	45235	3344
đổ	45183	3323
nhánh	45155	1843
trời	44815	5700
sâu	44730	3163
nối	44569	4010
tạp	44547	2820
trùng	44482	2091
trạng	44481	4760
nhện	44470	65
bức	44372	3757
bờ	44306	2915
suất	44300	3359
hàm	44091	4258
on	43955	1075
xử	43870	3557
phúc	43835	3127
trả	43765	2904
thừa	43750	3965
thụy	43731	2396
nghi	43672	3303
phối	43572	2973
băng	43463	2632
dữ	43450	3718
cục	43427	1728
buổi	43378	1958
trương	43063	2882
tam	42869	4033
kê	42846	1930
mét	42731	997
hại	42230	2744
trì	42137	3694
xung	42059	3348
ương	41837	2421
vốn	41790	3108
tín	41776	4490
dấu	41698	3583
thử	41615	1563
hiến	41516	3695
tội	41453	3213
kính	41423	3456
ruồi	41373	89
thao	41354	2515
căn	41235	2825
lượt	41105	1452
nặng	41014	2723
lao	40953	3368
mại	40941	3773
sa	40924	4554
vĩnh	40916	2696
da	40837	2480
o	40643	1255
tống	40573	2129
cúp	40515	1224
tải	40483	2306
khó	40404	3268
hưng	40375	3144
rút	40302	2627
phí	40264	2255
góp	40055	2950
kiếm	40040	2296
thăng	40029	2071
gì	40021	3340
chim	39946	1576
xét	39859	3143
thuốc	39791	2955
rời	39578	2024
sơ	39559	2766
xảy	39530	3249
sứ	39503	3083
hãng	39486	1542
thiện	39479	3144
đầy	39475	2619
họa	39336	2771
đảm	39278	2550
xanh	39255	2431
bá	39179	2009
tầng	39093	3783
đậu	39043	1161
phật	38985	7555
vợ	38960	2011
ngọc	38825	2289
khắc	38719	3145
phù	38692	3058
kiểu	38575	3510
lược	38519	3102
trưng	38425	3701
tỏ	38278	1619
khóa	38191	1879
trách	38017	2462
đích	37975	2965
cuốn	37935	2870
mộ	37808	2257
đương	37705	3023
soát	37591	3192
quán	37474	2871
sai	37425	3530
khối	37266	4614
nhờ	37208	3164
bão	37166	1103
trục	37122	1878
siêu	36975	2617
phê	36880	2692
rêu	36819	56
lòng	36687	3021
tu	36384	3455
ngầm	36342	1177
đạn	36325	1972
sáu	36284	1852
mềm	36280	2435
thiệu	36219	2014
úc	36056	1651
thoại	35892	2484
thí	35828	1821
liệt	35791	2394
suốt	35701	2627
kẻ	35663	2177
suy	35580	3488
chủng	35564	2470
đua	35555	1553
nuôi	35550	1768
ánh	35499	4263
no	35394	481
phút	35150	1088
ngựa	35082	1160
ngân	35032	2363
càng	34940	3674
vọng	34926	2502
ô	34861	2350
giác	34704	3850
luôn	34686	3079
tầm	34590	2233
đọc	34590	2667
khánh	34536	2017
cựu	34492	1554
hạm	34466	735
lạp	34400	3319
thua	34372	1148
ly	34263	2327
ủng	34257	3160
đột	34226	2692
hùng	34215	2297
dễ	34116	3098
võ	34025	2721
nạn	33882	2263
dần	33788	3549
trừ	33689	2699
thật	33637	2435
cai	33565	2924
tháp	33394	2779
bào	33383	5332
vinh	33358	1884
sắp	33203	1677
hủy	33201	1998
kênh	33140	1443
ngô	33071	3368
màn	32982	1177
đai	32817	1361
bước	32811	2904
ga	32810	998
cường	32685	2599
đẩy	32633	2571
chẳng	32153	3482
cúc	32142	198
chỉnh	32091	2212
thạch	32025	2219
trải	31746	2113
cậu	31686	1105
vừa	31535	2506
thịt	31313	1635
sửa	31257	2017
cờ	31125	2746
nâng	31071	1835
bày	31061	2130
cầm	31053	2500
nổ	31053	2523
hỏi	30970	2690
tần	30286	2353
nửa	30225	2007
tàng	30171	1667
kháng	30164	3196
đỉnh	30141	2533
bác	30105	2088
sung	29980	1673
thôn	29738	1671
đẹp	29671	1856
na	29662	1582
hiểu	29630	3069
loạn	29560	2448
tứ	29513	1761
ngược	29374	2663
lính	29318	1777
thụ	29254	2482
tiện	29230	2600
bạc	29204	1986
khá	29181	2539
mực	29138	1091
ngăn	29036	2152
cắt	28989	2311
sắt	28983	2362
by	28797	767
xương	28674	2074
ngũ	28621	2244
mạc	28503	2652
vân	28489	2070
diệt	28451	2585
thăm	28375	1802
tá	28302	1172
dầu	28229	2954
bồ	28220	2801
bánh	28219	2125
đền	28183	2496
trào	28128	3226
mười	28073	1808
thẩm	28037	1599
nhiễm	27966	2518
cảng	27956	2028
giản	27944	2537
trích	27938	1824
hiểm	27898	2329
tách	27749	2536
chóng	27741	2300
khoản	27646	1660
thú	27618	1462
phiếu	27556	1456
loan	27552	1251
gửi	27548	2069
xúc	27496	1965
cát	27362	2280
tai	27354	1388
bãi	27299	1864
vườn	27185	1484
chồng	27124	1546
nghe	27089	1980
tặng	27066	1252
xin	27046	2116
sớm	26965	2237
mai	26950	1574
nguy	26934	2120
mưu	26929	1620
tô	26879	2025
chùa	26859	3437
nghiêm	26757	2053
chỗ	26651	2091
xâm	26588	2610
tắc	26496	2619
tường	26433	1905
xỉ	26417	668
thọ	26412	1660
tán	26376	2108
tuyệt	26367	2031
đà	26333	3146
hè	26326	1276
bảy	26304	1558
khắp	26107	2433
vĩ	26079	1826
bạch	26072	1961
quỹ	25955	2336
dây	25952	2439
bậc	25884	2699
liền	25786	2360
lông	25608	835
bối	25510	1061
thác	25420	2257
gắn	25413	2250
tù	25253	1798
thẳng	25246	2115
máu	25217	2694
bom	25200	1223
thoát	25195	1805
đúng	25120	2419
cỏ	25113	1149
uy	25050	1597
tùy	24985	2025
sáp	24910	1558
hơi	24879	1810
phán	24821	2104
trại	24634	1300
món	24576	1329
bật	24428	1622
tạm	24367	1293
le	24355	651
viễn	24300	1722
tắt	24274	1832
vành	24197	867
đan	24155	1513
cấm	24148	2009
nhớ	24129	1832
dạy	24099	2203
đệ	24034	1932
chảy	24010	2416
dọc	23958	1764
khán	23858	784
đem	23840	2465
mi	23774	368
ưu	23747	2018
phạt	23722	1535
vịnh	23557	1534
van	23540	572
bụng	23500	416
quê	23469	1520
luân	23466	1821
giấy	23438	2289
trữ	23393	1917
chó	23327	732
khiển	23321	1489
rơi	23307	1429
thước	23283	1870
hút	23281	1764
côn	23253	870
ống	23225	1378
đẳng	23129	1802
mời	23075	1080
nghỉ	23046	1259
sẵn	23024	1537
xạ	23022	3012
đáp	23015	1758
thuyền	22935	1983
hỏa	22916	1697
thù	22916	1500
quyển	22884	2457
họp	22809	1705
lựa	22730	1386
hài	22726	1125
ẩm	22700	1372
lưới	22660	1471
nghề	22656	1953
đe	22627	984
lang	22549	1153
cặp	22516	1163
lộc	22420	1081
tránh	22408	1733
en	22275	337
nắm	22250	2055
nỗ	22212	1677
khủng	22170	1831
gắng	22160	1318
mông	22154	1638
ha	22138	648
lẫn	22120	2067
ốc	22065	536
bò	22035	899
trịnh	21988	1591
dọa	21987	886
điền	21985	1148
tan	21959	1990
lăng	21897	1500
tỉ	21791	1660
săn	21692	1041
chặn	21666	1357
ích	21630	1863
cương	21617	1857
tò	21484	67
phước	21399	1063
lối	21369	1566
tĩnh	21337	1515
đoán	21312	2086
đo	21292	2771
vò	21220	92
dưỡng	21192	1387
ả	21184	2275
thỏa	21100	1463
rập	21082	2267
soạn	21071	1606
bé	21045	1033
tám	21036	1273
gió	21020	2087
khăn	20974	1616
nhẹ	20938	1308
chấm	20894	1601
tờ	20832	1449
hôm	20805	930
thậm	20746	1713
cam	20504	1396
xu	20455	1526
pha	20409	1783
sóc	20404	1078
đuôi	20397	591
gà	20368	593
chị	20363	702
ẩn	20327	1270
ngang	20320	1698
hoá	20314	3452
miễn	20291	1616
mưa	20289	1755
góc	20250	1947
phức	20219	2109
tri	20182	1799
rắn	20131	1135
ngờ	20122	1125
cân	20104	1575
hấp	20102	2701
đuổi	20094	1155
vong	20085	1378
mũi	20077	1304
huyền	20059	1528
ràng	20055	1846
huân	19981	655
phu	19893	1046
chối	19832	1217
lôi	19799	677
ổn	19753	2131
giảng	19687	1701
dậy	19680	1472
hổ	19580	1255
gỗ	19573	1912
cà	19527	1564
can	19510	1657
lo	19506	1349
hiếu	19465	727
thiệt	19456	1192
hòn	19454	1234
lưng	19405	565
tảng	19388	1412
tàn	19324	1747
đỗ	19275	1340
dãy	19273	1948
rượu	19267	1638
trú	19252	1455
dị	19240	1354
lẽ	19239	1981
lỗi	19174	1542
bề	19122	2174
lỗ	19083	1806
giọng	19053	720
biện	19034	1732
ném	19009	871
phan	18942	1688
khỏe	18913	1325
chữa	18911	1151
ngụy	18861	1020
cốt	18842	1061
khô	18782	1367
chấn	18773	860
mệnh	18748	1446
cú	18702	807
cơn	18691	910
trồng	18658	1924
vạn	18652	1870
tròn	18604	1604
khái	18531	2359
chiêu	18526	1124
von	18500	580
kì	18480	1456
com	18455	400
vỏ	18454	1366
triết	18412	2071
sợ	18410	1099
chuỗi	18384	1797
nghĩ	18335	1355
mẽ	18308	1420
chìm	18306	488
chép	18281	1992
hoang	18281	1162
chinh	18259	1613
đau	18157	1100
đỡ	18125	1214
hư	18113	836
cụm	18105	1058
trống	18034	1154
nhu	18024	1493
điệu	18007	1143
lui	17952	968
chăm	17946	1832
tim	17943	1380
tia	17913	1324
tấm	17905	1225
tận	17895	1636
vẽ	17888	1651
rãi	17826	1677
uống	17790	1448
sài	17754	1826
đoạt	17743	958
thuế	17709	1734
dư	17707	1333
trinh	17678	824
phỏng	17662	999
vuông	17634	1052
tọa	17607	1007
cháu	17596	1072
bạo	17573	1380
lào	17570	1651
chợ	17427	1470
mỏ	17397	1497
phe	17274	1445
hung	17273	614
đồn	17262	1257
trà	17162	1507
kém	17137	1441
trăm	17128	1705
trốn	17118	846
buôn	17036	1538
nhảy	17019	719
khấu	17013	712
trứng	17011	748
may	16988	911
tụ	16978	1871
lam	16968	1258
nóng	16941	1801
nguyện	16869	1291
đám	16854	1292
lạnh	16819	1527
thịnh	16708	1575
tựa	16690	639
đinh	16613	1626
mong	16603	1101
ranh	16532	972
khổ	16522	1445
kiêm	16501	626
gòn	16435	1727
cột	16430	1369
chín	16427	986
ngừng	16380	972
ngư	16342	499
bột	16261	911
vẻ	16250	1075
chắc	16234	1284
dàn	16231	660
đón	16218	943
cẩm	16172	656
hiển	15998	1302
trạm	15903	953
khuôn	15871	1008
nhị	15871	1295
mãn	15854	1220
mái	15849	837
xưa	15846	1779
lồng	15831	351
man	15794	672
hô	15787	709
thai	15745	1305
tào	15707	1060
trăng	15697	1599
hoan	15691	925
co	15665	1052
thảm	15661	1086
khám	15607	1533
vỡ	15578	1031
đứa	15553	682
chạm	15508	1193
hoài	15503	884
rối	15477	1062
dõi	15464	855
tháo	15432	693
kèm	15430	1020
nâu	15425	484
dứt	15387	1344
lái	15383	817
đợt	15345	843
dặm	15337	463
dừng	15320	731
cháy	15297	1328
ngọt	15273	676
giàu	15245	1416
ám	15232	1103
nhắc	15198	1281
cán	15179	748
séc	15154	505
khổng	15139	1632
dày	15132	1134
tùng	15098	644
lữ	15092	628
thiểu	15070	1379
đàm	15067	1358
sót	15021	853
hứng	14991	897
tệ	14991	1248
lọt	14941	431
thiến	14937	64
hạnh	14918	976
chánh	14886	840
sẻ	14862	907
thuần	14849	1172
cừu	14847	215
cãi	14796	1221
cự	14779	796
dinh	14765	1225
hiếm	14740	1186
cất	14664	910
đốt	14655	1492
tuấn	14614	620
mắc	14612	886
vợt	14586	199
đôn	14579	1327
ác	14566	966
liêu	14502	1205
