# Token KHÔNG phải âm tiết tiếng Việt nhưng được chấp nhận trong văn bản Việt.
# Gồm ba nhóm: từ vay mượn khoa học (vectơ, nitơ, electron, protein),
# tên riêng ngoại (méxico, napoléon), và viết tắt thường (sđd, đ).
# 
# Tiêu chí: xuất hiện trong >= 20 câu khác nhau.
# Dùng SỐ CÂU CHỨA chứ không phải tần suất thô: tần suất thô bị một bài
# dài lặp lại một từ làm lệch, còn độ lan toả thì không.
# 
# Nguồn: sentences-train.txt (449911 câu)
# 
# token	tần_suất	số_câu_chứa
xviii	254	253
babylon	279	252
potter	312	252
apollo	290	251
kepler	304	251
one	271	250
oscar	290	250
smith	272	250
phaolô	263	248
pierre	252	248
bill	258	247
carey	263	247
colombia	271	247
victoria	263	247
chopin	285	246
cn	270	246
star	283	245
heli	266	244
online	257	243
samsung	325	243
silic	311	243
julius	277	241
baltic	254	239
asean	337	238
bahrain	274	238
madonna	264	238
laden	284	237
ja	238	236
nigeria	269	235
zhukov	250	235
center	260	234
toyota	298	234
british	243	232
villa	270	231
black	247	230
dvd	287	230
great	245	229
đắk	305	229
air	254	228
bangladesh	244	228
general	266	228
xvii	230	228
beatles	239	227
darwin	248	227
hiv	269	227
libya	255	227
liga	250	227
presley	242	225
sudan	286	225
cd	263	224
ip	275	224
italia	242	224
jefferson	240	224
mary	241	223
viii	230	223
messi	242	222
nano	312	222
nixon	243	222
serbia	243	222
south	240	222
ali	233	221
stalingrad	234	221
cacbon	251	220
jobs	258	220
churchill	228	219
france	229	218
eiffel	259	217
ford	247	217
html	258	217
tv	258	217
arsenal	255	216
kạn	248	216
sahara	229	216
abu	238	215
australia	229	215
club	233	215
org	240	215
carl	220	214
gnu	305	214
kazakhstan	234	213
oxford	229	213
yemen	256	213
cpu	241	212
news	237	212
ontario	242	212
nucleotide	254	211
q	274	211
rowling	227	210
gandhi	231	209
estonia	237	208
zeus	258	208
euclid	239	207
hugo	228	207
peru	226	207
west	214	205
ibm	225	204
lithi	280	204
fran	213	203
frankfurt	262	203
love	222	203
red	236	203
hawaii	212	202
it	218	202
mac	239	202
ch	279	201
roosevelt	223	201
rommel	235	200
castro	237	199
wilhelm	211	199
hitchcock	233	198
image	298	198
pc	222	198
albania	223	197
billboard	214	197
or	222	197
slovakia	210	197
cp	202	196
hall	232	196
max	201	196
enzym	216	195
feynman	227	195
all	205	194
ng	211	194
spin	244	194
xv	195	194
airlines	237	193
siberia	203	193
fc	214	192
night	207	192
bolivia	214	191
guitar	209	191
th	209	191
chloride	224	190
juventus	207	190
maya	213	190
vtv	257	189
euler	221	188
first	199	188
mandela	214	188
sydney	219	188
xiii	193	188
atm	235	187
diesel	252	187
fbi	208	187
ln	216	187
lắk	221	187
python	231	187
qlvnch	195	187
who	201	186
music	199	185
toronto	202	185
white	191	185
austen	216	184
alaska	207	183
cambridge	197	183
heinrich	185	183
jacques	189	183
kant	212	183
live	209	183
melbourne	215	183
network	193	183
war	199	183
bittorrent	216	182
kon	233	182
information	195	181
redirect	183	181
state	196	181
alpha	204	180
die	214	180
house	197	180
marie	183	180
pali	197	180
arthur	182	179
beckham	195	178
byzantine	186	178
lhq	221	178
media	206	178
sir	189	178
gregory	183	177
that	184	177
caribe	190	176
louvre	204	176
piano	203	175
ronaldinho	191	175
victor	188	175
vitamin	220	175
adelaide	229	174
europa	184	174
radar	203	174
science	186	174
francis	177	173
henri	178	172
illinois	191	172
kgb	209	172
monroe	201	172
moon	197	172
alfred	176	171
alt	174	171
hindu	178	171
josé	181	171
franklin	178	170
hawking	199	170
mourinho	185	170
os	199	170
sh	180	170
uruguay	191	170
vladimir	175	170
pol	186	169
rwanda	213	169
adam	175	168
bengal	181	168
big	185	168
gauss	197	168
ribosome	206	168
aguilera	182	167
angola	195	167
line	179	167
manga	189	167
massachusetts	174	167
napoleon	186	167
north	175	167
society	187	166
tehran	206	166
aids	186	165
computer	186	165
container	200	165
praha	177	165
christian	172	164
eugène	173	164
explorer	186	164
habsburg	189	164
harvard	181	164
jersey	184	164
luxembourg	185	164
arafat	194	163
china	190	163
everton	198	163
project	172	163
niger	183	162
book	185	161
ix	166	161
marlborough	172	161
peterburg	168	161
pot	172	161
angkor	185	160
daniel	166	160
hormone	201	160
scarlett	175	160
tcp	198	160
troia	195	160
art	179	159
ed	168	159
oman	178	159
ph	191	159
us	167	159
algérie	179	158
america	169	158
athens	170	158
brunei	175	158
apg	184	157
bach	193	157
boson	200	157
mtv	174	157
plato	183	157
sabah	192	157
viking	201	157
walter	161	157
free	167	156
hussein	163	156
up	165	156
abraham	168	155
football	168	155
iso	204	155
theory	180	155
archimedes	180	154
assyria	172	154
chip	176	154
geneva	164	154
german	184	154
johann	166	154
kilômét	166	154
lipid	179	154
mafia	177	154
server	174	154
timor	185	154
uzbekistan	173	154
data	172	153
inca	184	153
sankt	160	153
zidane	172	153
alexandros	171	152
beethoven	166	152
cape	165	152
research	163	152
site	172	152
style	194	152
und	169	152
vancouver	175	152
alexandria	160	151
carlos	161	151
greenland	173	151
leipzig	171	151
little	158	151
marxist	171	151
romania	161	151
sultan	165	151
azerbaijan	190	150
costa	174	150
jessica	175	150
kde	206	150
les	160	150
super	155	150
titanic	177	149
vector	169	149
wilson	152	149
aristotle	154	148
beta	159	148
bhutan	185	148
blue	166	148
entropy	183	148
model	159	148
page	161	148
pennsylvania	160	148
bosna	164	147
hamilton	162	147
lavigne	156	147
eminem	161	146
fluor	177	146
manstein	149	146
ya	149	146
athena	156	145
brown	156	145
gates	166	145
ohio	174	145
perú	175	145
text	157	145
are	152	144
borneo	160	144
caesar	172	144
latvia	171	144
ptolemaios	179	144
qaeda	155	144
kavkaz	150	143
mg	166	143
net	158	143
pleiku	160	143
stephen	154	143
versailles	147	143
amsterdam	149	142
georgia	155	142
series	156	142
show	154	142
steve	161	142
adolf	144	141
hans	149	141
jack	160	141
jr	144	141
kyoto	162	141
language	159	141
library	157	141
list	150	141
rome	156	141
sea	168	141
software	159	141
bundesliga	164	140
byte	177	140
champa	164	140
foundation	149	140
guatemala	157	140
metro	170	140
post	143	140
uae	154	140
bob	145	139
cannes	168	139
cruyff	151	139
games	166	139
guide	147	139
hemingway	172	139
service	143	139
about	139	138
bonaparte	146	138
covid	144	138
ekaterina	142	138
hiđrô	148	138
jackson	151	138
laptop	182	138
ois	142	138
ferdinand	137	137
il	193	137
pasteur	163	137
wto	151	137
zwingli	146	137
english	139	136
island	147	136
juan	151	136
kenya	145	136
nicaragua	171	136
serie	153	136
xml	186	136
xp	154	136
gamma	160	135
mozart	147	135
tien	135	135
sunni	145	134
tz	134	134
donald	133	133
fo	133	133
franz	141	133
ibn	152	133
institute	140	133
phêrô	142	133
tamil	158	133
andrew	135	132
antonius	157	132
glasgow	156	132
newfoundland	145	132
otto	149	132
point	154	132
port	147	132
qđ	134	132
records	147	132
atlético	142	131
code	151	131
hogwarts	147	131
hot	137	131
png	154	131
rice	149	131
simon	138	131
ss	155	131
bell	141	130
chlor	155	130
christopher	132	130
hikaru	180	130
lewis	135	130
ludwig	131	130
philip	134	130
samuel	132	130
sumatra	139	130
ajax	151	129
api	153	129
galileo	137	129
hydrocarbon	145	129
jane	143	129
mah	135	129
mikhail	132	129
people	131	129
svg	167	129
wiki	147	129
alkan	160	128
balkan	137	128
dos	134	128
javascript	148	128
logo	147	128
oh	142	128
santa	135	128
stone	136	128
ubnd	135	128
wars	154	128
guang	127	127
kelly	145	127
lord	141	127
plasma	144	127
polymerase	151	127
rica	151	127
titan	140	127
tottenham	142	127
voldemort	145	127
axít	151	126
basic	149	126
christie	145	126
copa	138	126
edition	134	126
fidel	140	126
open	145	126
sony	141	126
tunisia	140	126
ethanol	150	125
kyi	135	125
power	135	125
pythagoras	153	125
québec	154	125
roger	126	125
ac	135	124
ak	140	124
email	132	124
hebrew	148	124
journal	125	124
ka	135	124
manhattan	130	124
slav	135	124
young	131	124
zen	128	124
boeing	143	123
cholesterol	150	123
hill	134	123
his	143	123
human	135	123
bar	126	122
central	129	122
east	131	122
inc	127	122
ivan	128	122
kong	135	122
mannheim	155	122
public	132	122
scandinavia	132	122
asia	137	121
boston	127	121
ecuador	131	121
gambia	156	121
haiti	140	121
himalaya	121	121
ronald	127	121
suu	128	121
this	130	121
descartes	133	120
development	125	120
gaza	124	120
ghana	138	120
mill	138	120
old	122	120
westminster	124	120
ft	124	119
nova	122	119
official	146	119
phosphat	129	119
solo	126	119
sunderland	131	119
corporation	122	118
isaac	123	118
munich	120	118
royal	127	118
tony	124	118
torrent	143	118
uganda	138	118
we	138	118
anne	123	117
bus	152	117
douglas	124	117
lorentz	122	117
yersin	136	117
adams	123	116
aristoteles	122	116
association	127	116
company	119	116
elvis	127	116
hat	145	116
home	125	116
how	119	116
hubble	132	116
ji	133	116
mrna	126	116
not	126	116
opec	142	116
sihanouk	122	116
warszawa	127	116
alan	117	115
alexandre	121	115
busan	143	115
cameroon	140	115
coli	121	115
silicon	131	115
williams	121	115
amazon	121	114
howard	118	114
iberia	120	114
mozambique	122	114
pacific	127	114
piston	131	114
prix	130	114
roman	125	114
afc	143	113
asian	124	113
college	121	113
frederick	115	113
intel	127	113
mecca	126	113
prince	122	113
roll	122	113
tr	120	113
ukraine	124	113
carolina	121	112
coca	136	112
dean	115	112
guyana	131	112
kiev	116	112
leopold	115	112
like	114	112
methan	138	112
obama	122	112
states	118	112
aston	122	111
benjamin	115	111
blues	131	111
dioxin	136	111
encyclopedia	117	111
faraday	127	111
genista	293	111
johannes	113	111
sicilia	114	111
systems	122	111
tchad	126	111
acetic	123	110
georges	112	110
jan	115	110
nucleic	125	110
paraguay	118	110
philadelphia	112	110
scott	114	110
venus	128	110
atp	124	109
baptist	122	109
bruce	113	109
fourier	148	109
louisiana	120	109
maldives	125	109
newcastle	123	109
sol	128	109
sulfide	128	109
transistor	145	109
fernando	111	108
land	116	108
mississippi	118	108
out	114	108
play	112	108
salvador	118	108
camera	116	107
dumbledore	115	107
ernest	110	107
high	114	107
inch	122	107
mail	115	107
uss	120	107
vol	108	107
whisky	137	107
wide	110	107
bangkok	110	106
brian	110	106
casablanca	124	106
edison	132	106
gaulle	113	106
graham	117	106
kyrgyzstan	115	106
livingstone	136	106
michigan	116	106
wesley	135	106
end	112	105
geschichte	106	105
gordon	108	105
hit	109	105
magnesi	130	105
osbourne	114	105
phnôm	111	105
rio	109	105
division	112	104
force	107	104
fox	108	104
lawrence	109	104
lepton	144	104
marshall	107	104
pdf	115	104
plasmid	131	104
tanzania	112	104
andes	109	103
baghdad	110	103
chirac	112	103
disney	117	103
mccartney	110	103
off	105	103
office	113	103
simpson	117	103
story	105	103
technology	108	103
columbus	107	102
cytokine	118	102
england	104	102
gram	137	102
hlv	110	102
hmông	152	102
homer	112	102
madagascar	106	102
main	111	102
mars	121	102
modern	103	102
name	127	102
nirvana	114	102
norman	107	102
shia	110	102
stanford	115	102
turing	120	102
type	117	102
ad	111	101
artemisia	208	101
claude	103	101
cobain	108	101
control	107	101
dominica	112	101
green	107	101
hydroxide	127	101
malta	117	101
nm	136	101
shogi	144	101
sokrates	126	101
truman	110	101
two	111	101
urani	112	101
athletic	115	100
botswana	109	100
european	108	100
global	105	100
god	114	100
golf	123	100
honduras	107	100
jimmy	100	100
joe	102	100
luke	120	100
mit	105	100
museum	108	100
turkmenistan	111	100
dollar	109	99
light	109	99
rolling	99	99
cobalt	115	98
cola	120	98
dc	111	98
forbes	98	98
graz	110	98
minako	109	98
ottawa	127	98
platon	107	98
putin	101	98
school	100	98
space	104	98
ufo	119	98
anna	101	97
cnn	114	97
eritrea	110	97
grammy	107	97
hepburn	113	97
hermann	103	97
krym	108	97
leningrad	108	97
mômen	123	97
pedro	108	97
rain	112	97
rhein	111	97
rich	102	97
robot	111	97
tatar	115	97
align	153	96
cricket	129	96
diego	100	96
kanji	119	96
kh	107	96
protocol	118	96
puerto	105	96
shah	110	96
street	97	96
volga	102	96
www	115	96
antonio	98	95
blog	122	95
chinese	114	95
dll	134	95
fluoride	118	95
historical	95	95
ller	98	95
nq	95	95
roh	106	95
sparta	105	95
wat	105	95
hercegovina	99	94
iss	110	94
law	97	94
nash	119	94
neutrino	134	94
polymer	116	94
single	104	94
thpt	165	94
arena	98	93
bridge	103	93
celt	107	93
cook	93	93
geisha	135	93
halogen	115	93
iod	113	93
kentucky	103	93
lucas	102	93
manuel	94	93
nauru	111	93
polo	106	93
special	101	93
stanley	96	93
tvxq	100	93
ubuntu	119	93
what	106	93
br	103	92
das	105	92
dubai	101	92
malacca	97	92
marco	101	92
marseille	101	92
menshikov	100	92
oecd	96	92
baikal	112	91
edwards	101	91
estrogen	105	91
freud	105	91
guevara	101	91
hume	106	91
introduction	92	91
its	97	91
jose	98	91
markov	127	91
michel	92	91
nelson	93	91
panama	98	91
shakespeare	100	91
standard	95	91
studies	96	91
tutsi	106	91
valley	95	91
wall	100	91
ab	96	90
augustus	92	90
best	98	90
carter	92	90
century	94	90
deutsche	95	90
hangul	95	90
nickel	104	90
other	92	90
rfc	124	90
rpg	107	90
taliban	98	90
analysis	100	89
baroque	94	89
berkeley	104	89
bernard	90	89
blitzkrieg	92	89
chaplin	102	89
colombo	96	89
doraemon	104	89
ernst	90	89
fermat	125	89
hamburg	97	89
pcr	107	89
sumer	98	89
tajikistan	100	89
venezia	94	89
ar	98	88
cell	101	88
danube	96	88
digital	93	88
fe	116	88
freedom	93	88
gel	119	88
hermione	95	88
jones	96	88
mercury	98	88
mol	117	88
orleans	98	88
php	123	88
roberts	100	88
rudolf	90	88
ttg	88	88
word	106	88
arpanet	101	87
cairo	90	87
derby	108	87
gs	99	87
margaret	97	87
namibia	98	87
programming	96	87
rico	94	87
search	93	87
study	88	87
trinidad	101	87
uk	89	87
way	90	87
akira	111	86
amonia	88	86
anti	100	86
ashley	97	86
fan	95	86
field	90	86
hemoglobin	105	86
ltte	97	86
mangan	90	86
miller	95	86
philippos	94	86
road	89	86
sierra	87	86
wolfgang	88	86
yahoo	129	86
zimbabwe	90	86
amin	102	85
books	88	85
box	93	85
card	96	85
festival	99	85
gas	89	85
government	93	85
las	91	85
liechtenstein	92	85
lympho	102	85
petersburg	90	85
rhodes	93	85
tennessee	87	85
ts	93	85
venice	87	85
vnch	91	85
will	90	85
brahms	95	84
codon	105	84
edinburgh	88	84
empire	88	84
gabriel	86	84
hesse	97	84
jonathan	93	84
kuiper	95	84
leonardo	93	84
merkel	90	84
metal	98	84
mobile	98	84
our	104	84
polyme	110	84
schr	88	84
second	87	84
slovak	96	84
spirit	89	84
sports	91	84
stream	88	84
sur	89	84
thaksin	91	84
thatcher	102	84
union	88	84
zambia	89	84
alabama	99	83
bank	94	83
buddhismus	83	83
chernobyl	96	83
crete	96	83
deep	95	83
firefox	104	83
golden	87	83
iphone	112	83
isbn	92	83
jeanne	86	83
kursk	95	83
panamá	97	83
peroxide	95	83
political	92	83
princeton	92	83
silica	84	83
teen	87	83
western	87	83
yukon	103	83
allen	88	82
ascii	100	82
britney	91	82
dr	85	82
ioc	85	82
luis	87	82
machine	84	82
moscow	89	82
ozon	99	82
porto	87	82
ppen	88	82
togo	92	82
twain	89	82
verdun	98	82
warner	87	82
wright	96	82
alps	87	81
benz	98	81
bohemia	84	81
domain	103	81
eisenhower	86	81
espresso	102	81
gothic	82	81
islam	87	81
iucn	87	81
panduranga	94	81
phosphate	95	81
qur	84	81
rei	97	81
unicode	93	81
was	93	81
ête	92	81
andré	81	80
camp	84	80
clo	88	80
database	88	80
jazz	89	80
jupiter	88	80
marino	100	80
maryland	81	80
mekong	86	80
nature	81	80
russell	82	80
sheikh	87	80
silicat	88	80
suez	90	80
wien	92	80
alice	86	79
dumoulin	79	79
franco	80	79
grant	84	79
houston	91	79
jacob	82	79
last	83	79
lisa	85	79
milano	82	79
missouri	80	79
ms	80	79
phosphor	87	79
rhett	86	79
sarah	88	79
studio	83	79
three	83	79
ur	88	79
vinci	98	79
church	83	78
connecticut	84	78
culture	78	78
ex	87	78
giovanni	82	78
koch	92	78
matthew	79	78
more	82	78
phanxicô	83	78
raikkonen	81	78
saudi	90	78
abc	86	77
atlanta	81	77
bari	95	77
constantinopolis	83	77
daily	82	77
engineering	87	77
gorbachev	82	77
kiribati	91	77
mohammed	82	77
review	81	77
santiago	80	77
town	83	77
xxi	77	77
abramovich	83	76
cation	81	76
cross	80	76
engels	81	76
fedora	113	76
film	87	76
ftp	100	76
girl	92	76
harrison	79	76
jung	78	76
kurd	87	76
mali	84	76
patrick	78	76
paulus	77	76
ruby	102	76
seine	83	76
source	80	76
yoga	115	76
đ	93	76
alonso	80	75
article	82	75
benzen	87	75
everest	92	75
gagarin	82	75
georg	76	75
hd	87	75
hillary	81	75
kelvin	92	75
major	77	75
mclaren	89	75
player	93	75
punk	99	75
sanders	87	75
ubc	84	75
visual	81	75
watson	76	75
yuri	76	75
amur	81	74
bahamas	86	74
bios	98	74
bosnia	82	74
class	84	74
dhabi	80	74
dinger	78	74
elip	80	74
enterprise	83	74
entertainment	83	74
flash	107	74
fort	78	74
gnome	95	74
gpl	81	74
grande	76	74
jamaica	78	74
kremli	85	74
lake	83	74
marcus	78	74
ml	95	74
nicolas	74	74
philosophy	84	74
slovenia	78	74
tt	83	74
usb	89	74
youtube	80	74
action	79	73
alba	76	73
alex	75	73
arts	76	73
based	76	73
beryli	92	73
calamus	170	73
carlo	77	73
herbert	76	73
jesus	85	73
jim	76	73
jules	78	73
linnaeus	77	73
lyon	76	73
manila	78	73
mussolini	73	73
philippe	73	73
sk	75	73
sp	87	73
sulfuric	78	73
torino	81	73
turk	79	73
airbus	86	72
alberta	76	72
aleksandr	74	72
boris	72	72
engine	86	72
gulf	80	72
http	81	72
japan	78	72
key	84	72
luang	78	72
malawi	81	72
module	82	72
monaco	76	72
moore	82	72
morris	75	72
rey	73	72
saigon	78	72
works	78	72
act	79	71
debian	92	71
down	75	71
eric	72	71
feet	81	71
magellan	84	71
maurice	72	71
sanskrit	81	71
sharia	79	71
tex	95	71
tigris	78	71
your	76	71
arroyo	76	70
ashlee	81	70
back	70	70
bass	72	70
britannica	83	70
business	75	70
cabo	80	70
caption	72	70
centre	78	70
collection	75	70
delphi	75	70
delta	81	70
desktop	79	70
dictionary	70	70
ea	101	70
edo	74	70
garden	74	70
gundam	111	70
kosovo	74	70
management	76	70
medina	75	70
miguel	76	70
mike	75	70
ntfs	88	70
number	75	70
object	71	70
ono	80	70
osi	82	70
pro	77	70
rabin	79	70
river	75	70
tagore	77	70
trump	74	70
winston	72	70
antoine	70	69
apartheid	73	69
arkansas	81	69
berber	74	69
earth	78	69
edmund	71	69
er	79	69
faso	70	69
full	74	69
imf	70	69
iupac	77	69
kernel	82	69
ko	72	69
laurent	71	69
liberia	78	69
mendeleev	79	69
miami	75	69
montenegro	83	69
nikolai	70	69
oracle	89	69
românia	70	69
senna	73	69
sikh	79	69
stuart	76	69
torvalds	72	69
universal	76	69
winfrey	76	69
august	69	68
awards	78	68
burkina	68	68
delhi	71	68
doumer	72	68
eleanor	80	68
electric	73	68
eswatini	76	68
french	70	68
germain	70	68
hudson	77	68
hydroxyl	71	68
octavianus	79	68
panthera	85	68
rose	72	68
sachsen	73	68
set	75	68
steven	68	68
tokugawa	73	68
voltaire	72	68
werner	70	68
xbox	107	68
arizona	75	67
army	75	67
atlas	69	67
bazan	71	67
blu	73	67
bohr	78	67
buddha	73	67
clara	70	67
colorado	79	67
early	67	67
glucose	69	67
heart	70	67
hotspur	76	67
interface	79	67
labrador	84	67
lisboa	77	67
magma	82	67
middlesbrough	75	67
mêtric	83	67
nokia	81	67
rhee	81	67
sch	67	67
stockholm	71	67
sutta	79	67
teresa	71	67
valencia	75	67
vn	74	67
yang	80	67
android	73	66
angel	78	66
baker	79	66
basque	73	66
biography	73	66
bourgogne	90	66
burundi	80	66
channel	71	66
christina	69	66
client	70	66
denis	69	66
fermion	71	66
kansas	85	66
mc	74	66
methyl	81	66
monet	73	66
nations	73	66
nile	68	66
nitrat	72	66
osama	67	66
pizza	101	66
postgresql	77	66
report	69	66
ring	73	66
sarawak	71	66
silesia	72	66
southern	73	66
utc	82	66
verde	76	66
vijaya	75	66
yale	68	66
école	82	66
ag	77	65
anion	73	65
beach	67	65
brothers	66	65
café	76	65
chamo	83	65
ean	89	65
erich	65	65
ester	76	65
fred	65	65
gluon	75	65
hee	66	65
heracles	67	65
heroin	79	65
horn	70	65
hutu	78	65
ic	73	65
iliad	66	65
iniesta	74	65
istanbul	66	65
kilôgam	72	65
luca	68	65
mini	69	65
nt	71	65
rick	72	65
scotia	68	65
seed	95	65
sinai	67	65
species	69	65
zero	71	65
abdullah	64	64
academy	68	64
alken	79	64
anthony	64	64
architecture	64	64
ayutthaya	72	64
ching	66	64
fu	74	64
fulro	74	64
indiana	71	64
into	65	64
joão	66	64
leibniz	69	64
mw	69	64
peptide	70	64
rasputin	70	64
raymond	65	64
rené	65	64
risc	76	64
robin	64	64
seattle	65	64
solomon	66	64
sv	65	64
voroshilov	66	64
wagner	74	64
water	67	64
zeppelin	75	64
đăk	86	64
ampe	74	63
archive	69	63
cooper	69	63
country	67	63
ether	81	63
fibonacci	79	63
gabon	67	63
have	68	63
ian	65	63
kurt	67	63
lady	71	63
ld	73	63
macintosh	72	63
master	76	63
nđ	65	63
pareto	91	63
ralph	65	63
upc	100	63
uv	71	63
vietnamese	66	63
whig	66	63
year	70	63
years	65	63
anderson	67	62
bahá	70	62
bose	70	62
carbonat	68	62
curie	81	62
davis	64	62
dbms	76	62
death	65	62
felipe	65	62
granit	63	62
hop	67	62
julian	64	62
ltd	65	62
mode	72	62
montréal	69	62
moravia	70	62
pictures	76	62
place	66	62
ppp	68	62
scud	75	62
stewart	65	62
thebes	69	62
theodore	62	62
thompson	66	62
through	62	62
tobago	71	62
tuabin	72	62
véctơ	80	62
warren	67	62
birmingham	62	61
blackburn	64	61
buddhist	66	61
davy	61	61
design	67	61
dublin	68	61
es	70	61
gimp	91	61
gustav	63	61
khrushchev	61	61
lesotho	71	61
motor	66	61
nara	65	61
next	62	61
oslo	64	61
oxit	67	61
polynesia	62	61
rus	68	61
sciences	65	61
shell	68	61
sky	64	61
sm	67	61
soul	63	61
spam	80	61
tenxơ	87	61
tiger	75	61
volume	65	61
window	68	61
agatha	63	60
annan	69	60
arc	76	60
cincinnati	65	60
cronquist	63	60
dance	65	60
dirac	65	60
font	65	60
gilbert	67	60
gp	70	60
hard	63	60
has	62	60
hye	64	60
languages	67	60
latte	86	60
link	81	60
magazine	60	60
marcel	62	60
micro	68	60
msn	80	60
neon	70	60
security	67	60
size	62	60
snape	70	60
sulfat	65	60
table	66	60
wimax	71	60
đôla	66	60
ahmed	60	59
aim	78	59
anatolia	67	59
andreas	60	59
